px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.312243	0.58034	0	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	3.08297e-321
0.75792	0.732528	8.22907	3.62207e-17	3.79866e-18	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	42.8352
1.17173	0.482491	8.26304	-0.0148576	-0.00138651	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.0313022
1.24345	0.527908	7.99049	0.203962	0.034191	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	1.81579
1.62852	0.620573	8.58827	0.306866	0.0506197	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.282562
1.80734	0.551485	5.66356	0.111081	-0.0324739	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	3.72327
2.16238	0.64001	6.4896	0.155726	-0.0117563	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.189417
2.29801	0.649579	5.1821	0.144728	-0.03885	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	2.31996
2.63745	0.669491	5.69034	0.118562	-0.0673599	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.0908828
2.87936	0.647977	5.37267	0.0679524	-0.203022	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.213992
3.0367	0.6425	4.9076	0.0468516	-0.245904	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0.142633
3.39116	0.522087	5.35615	-0.102043	-0.578088	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	1.68118
3.83238	0.351556	6.01884	-0.268021	-0.880582	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	0.995561
4.0604	0.524322	5.70172	-0.0889339	-0.387872	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	4.44156
4.31831	0.562409	5.64765	-0.0506406	-0.258413	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.0655273
4.53207	0.618484	5.38325	-0.015807	-0.17542	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	0.926307
4.50548	0.82693	4.56303	0.12407	0.0903449	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	3.92994
4.83791	0.737768	4.86502	0.0316293	-0.0922909	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	3.23462
5.355	0.67748	5.56829	-0.0113771	-0.144093	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	3.35934
5.58196	0.674199	5.4751	-0.0179167	-0.142705	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	1.59146
5.95502	0.700674	5.71652	0.00651567	-0.0834251	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	0.524662
6.08873	0.544169	5.29641	-0.132369	-0.319257	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	4.62259
6.35451	0.815348	5.29693	0.0650587	0.0113139	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	2.61744
6.57714	0.828433	5.17318	0.0587963	-0.00214712	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	0.359939
6.80266	0.757795	5.10865	0.00199372	-0.084956	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	0.298452
7.02052	0.703538	4.96029	-0.0433458	-0.150032	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	2.04385
7.20097	0.854124	4.82986	0.0448745	-0.020371	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	1.57882
7.60544	0.861256	5.22864	0.0506802	-0.00416206	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	5.42856
7.83093	0.781838	5.15703	-0.00475593	-0.0782335	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0.501067
8.06621	0.789932	5.0412	-0.00792592	-0.0831027	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	2.30186
